enfuvirtide	5	No	HIV fusion inhibitor
Interferon alfacon-1	4	Unclear	Interferons
hexachlorophene	3	Yes	Disinfectant
alendronic acid	2	Not relevant	Used for osteonecrosis
ethacrynic acid	2	"Yes, for derivations"	Loop diuretic
promazine	2	No	Antipsychotic
triclosan	2	No	Antibacterial/antifungal
"Interferon Alfa-2a, Recombinant"	1	"Unclear, with ribavirin"	Interferons
L-phenylalanine	1	"Yes, for derivations"	Isomer of amino acid
Nitroprusside	1	No	Blood pressure med
Palivizumab	1	Not relevant	Monoclonal antibody for RSV
adefovir dipivoxil	1	Not relevant	RTI for HepB
givosiran	1	Not relevant	Used for hepatic porphyria
loperamide	1	Yes	Diarrhea treatment
oritavancin	1	Yes	Antibiotic
phenazopyridine	1	"Yes, for other coronaviruses"	Analgesic
saracatinib	1	Yes	Kinase inhibitor
telavancin	1	Yes	Antibiotic
tobramycin	1	Not relevant	Antibiotic
